房源标题,网页网址,性别要求,房屋类型,合租/整租,地址,每月租金,出租时长,时间,学校,出租方式,房源,联系方式
旺角 一房一厅,https://hongkong365.cn/house/662fd28c96817f09347e707b,女性,酒店式公寓,整租, 油麻地/旺角/太子-旺角,7800,可议,2024-04-30,nan,房东,花生香港,
转租!送生活用品!香港单间骨折价,https://hongkong365.cn/house/662fd07a60a7940d5e65008d,男性,洋楼,合租, 大围/沙田-沙田第一城,6000,可议,2024-04-30,港中文,个人,花生香港,
坚尼地城超采光无敌海景房整套短租短租短租,https://hongkong365.cn/house/662fcf4ea20134571768e8c5,女性,洋楼,整租, 西营盘/坚尼地城/石塘咀-海怡花园停车场,12000,可议,2024-04-30,nan,个人,花生香港,
5.15起租，可以单租一间，也可整租,https://hongkong365.cn/house/6630839de4e9d17eaf16b494,男女皆可,洋楼,合租, 长沙湾/深水埗/荔枝角-九洲大厦,5300,0个月,2024-04-30,nan,房东,花生香港,
油麻地駿發花園高層2380/月,https://hongkong365.cn/house/6630831e4bead531962a815f,男女皆可,洋楼,合租, 尖沙咀/佐敦-百老汇电影中心,2380,0个月,2024-04-30,nan,房东,花生香港,
理工大学附近最笋价套房,https://hongkong365.cn/house/6629f5622483272cf652fcbc,男女皆可,洋楼,整租, 尖沙咀/佐敦-柯士甸[地铁站],5600,可议,2024-04-30,nan,中介/其他,花生香港,
交通方便 拎包入住,https://hongkong365.cn/house/653221749d404c1a9d69e62e,男女皆可,洋楼,整租, 油麻地/旺角/太子-上海街380號,8200,可议,2024-04-30,nan,中介/其他,花生香港,
西营盘一室一厅找下一任租客,https://hongkong365.cn/house/6630b2e067fd386f89031066,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-西环,11000,可议,2024-04-30,nan,个人,花生香港,
旺角通菜街,https://hongkong365.cn/house/66308856e4e9d17eaf16b4a9,男女皆可,唐楼,整租, 油麻地/旺角/太子-通菜街205號,4800,可议,2024-04-30,nan,中介/其他,花生香港,
cityU大围名城找厅长,https://hongkong365.cn/house/6630f665c1a87e34165c6207,女性,洋楼,合租, 石硖尾/九龙塘-大围名城2期高层东南房,5300,可议,2024-04-30,nan,中介/其他,花生香港,
红磡海滨南岸中高层,https://hongkong365.cn/house/6630f04bb58ef36afa4e40a9,男女皆可,洋楼,整租, 红磡/黄埔-海滨南岸第5座,18000,可议,2024-04-30,nan,个人,花生香港,
金狮二期 8 月起租,https://hongkong365.cn/house/65f13fb161590c5fc517cfe9,男女皆可,洋楼,合租, 大围/沙田-金狮花园 2期,5000,可议,2024-04-30,港中文,个人,花生香港,
女學生女孩子恬靜空間,https://hongkong365.cn/house/6630cf419b158543356dc566,女性,洋楼,合租, 油麻地/旺角/太子-宝兴大楼,5500,可议,2024-04-30,nan,房东,花生香港,
✨預租：業昌大廈大套房帶家具電器,https://hongkong365.cn/house/6630c778b58ef36afa4e4042,男女皆可,洋楼,合租, 西营盘/坚尼地城/石塘咀-尚宾西环公寓业昌大厦,9000,可议,2024-04-30,nan,中介/其他,花生香港,
短租）近港大B1口套房有獨立洗手間家俬短租4000,https://hongkong365.cn/house/661feccf8b8cf8589c3e7304,男女皆可,洋楼,合租, 西营盘/坚尼地城/石塘咀-屈地大楼,4000,可议,2024-04-30,nan,中介/其他,花生香港,
西九龙高铁站旁,https://hongkong365.cn/house/6630f8469b158543356dc5cb,男女皆可,洋楼,整租, 尖沙咀/佐敦-柯士甸[地铁站],13000,可议,2024-04-30,nan,中介/其他,花生香港,
香港城市大学又一居,https://hongkong365.cn/house/6630ae3667fd386f8903105b,男女皆可,洋楼,合租, 石硖尾/九龙塘-又一居[公交站],8200,可议,2024-04-30,nan,房东,花生香港,
海灣軒,https://hongkong365.cn/house/6630926391349045f4629e20,女性,酒店式公寓,合租, 红磡/黄埔-香港海湾轩(日租公寓),8000,可议,2024-04-30,nan,个人,花生香港,
沙田中心单间转租，家具齐全，可小刀,https://hongkong365.cn/house/64d25158d025ad523910791a,男性,洋楼,合租, 大围/沙田-沙田中心,4000,可议,2024-04-30,港中文,个人,花生香港,
转租香港中文大学附近房子,https://hongkong365.cn/house/66308bfa91349045f4629e0d,男性,洋楼,合租, 马鞍山-鞍诚街新港城4期,5500,可议,2024-04-30,nan,个人,花生香港,
罗湖口岸租房,https://hongkong365.cn/house/66308cb9e4e9d17eaf16b4b1,男女皆可,洋楼,整租, 深圳市区-置地逸轩A栋,5000,可议,2024-04-30,港中文,房东,花生香港,
葵兴恒景花园找室友,https://hongkong365.cn/house/6493097aa6bc751a7b305984,女性,洋楼,合租, 葵芳/葵兴-恒景花园,6135,可议,2024-04-30,nan,个人,花生香港,
港大坚尼地城男寝转租！5k超大单人间露台小复式！,https://hongkong365.cn/house/6620a7e10c990f40a030ffde,男性,唐楼,合租, 西营盘/坚尼地城/石塘咀-山市街,6000,0个月,2024-04-30,nan,个人,花生香港,
日出康城领都带独卫的主卧招租，免中介费，拎包入住，无厅长，无需年付，近科大,https://hongkong365.cn/house/6630a5b58d737b33b96f298f,男女皆可,洋楼,合租, 康城-日出康城领都[公交站],7100,可议,2024-04-30,nan,个人,花生香港,
港大靚裝大套房帶家具電器,https://hongkong365.cn/house/662f2e817e640f5ab313c5aa,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-西环,11000,可议,2024-04-29,nan,中介/其他,花生香港,
西营盘海景房短租,https://hongkong365.cn/house/662bb7092b8a452ef52638fb,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-恒兴楼,6000,可议,2024-04-29,nan,个人,花生香港,
港大靚裝套房帶家具電器,https://hongkong365.cn/house/662f292b7e640f5ab313c598,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-尚宾西环公寓业昌大厦,7000,可议,2024-04-29,nan,中介/其他,花生香港,
香港大学 套房,https://hongkong365.cn/house/662f26207e640f5ab313c586,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-三汇大厦,7500,可议,2024-04-29,nan,中介/其他,花生香港,
海滨南岸转租,https://hongkong365.cn/house/65412ead6f3e1d698c254b7a,女性,洋楼,合租, 红磡/黄埔-海滨南岸东区,3000,可议,2024-04-29,nan,个人,花生香港,
低价转租（可小刀） 又一居房源 近城市大学、浸会大学，近地铁站,https://hongkong365.cn/house/6613b9279fccad02d5451629,女性,学生公寓,合租, 石硖尾/九龙塘-又一居第21座,5000,可议,2024-04-29,nan,个人,花生香港,
油麻地站旁60平合租，独卫独浴,https://hongkong365.cn/house/662f16ffe3a80823d560ec03,男女皆可,唐楼,合租, 油麻地/旺角/太子-金堂大厦,7500,可议,2024-04-29,nan,个人,花生香港,
2房1廳招租,https://hongkong365.cn/house/659f67c9f88ddd716a25e360,男女皆可,洋楼,整租, 湾仔/铜锣湾-怡和街,15500,可议,2024-04-29,nan,房东,花生香港,
名城三期五座招独卫主人房室友,https://hongkong365.cn/house/6621be0d30426256350be334,女性,洋楼,合租, 大围/沙田-名城,9900,可议,2024-04-29,港中文,房东,花生香港,
嘉熙 白石角,https://hongkong365.cn/house/662ed460e364ea1dc87cb883,男女皆可,酒店式公寓,整租, 大埔/火炭/太和-科研路,13800,可议,2024-04-29,港中文,房东,花生香港,
海逸豪园大房,https://hongkong365.cn/house/65c09aed8aede34d435fd6e5,女性,学生公寓,合租, 红磡/黄埔-海逸豪园,4500,可议,2024-04-29,nan,个人,花生香港,
（已被hold)坑口 南丰广场 地铁上盖 3b2b 招女生厅长室友 8月起租,https://hongkong365.cn/house/662e0d27a9c9974e323cddaa,女性,洋楼,合租, 将军澳/坑口/宝琳-坑口[地铁站],3500,可议,2024-04-29,nan,房东,花生香港,
房出租,https://hongkong365.cn/house/662edbcde364ea1dc87cb886,女性,酒店式公寓,合租, 红磡/黄埔-香港海湾轩(日租公寓),4200,可议,2024-04-29,nan,个人,花生香港,
两房,https://hongkong365.cn/house/662e99c110301a60566fbdb4,男女皆可,洋楼,整租, 长沙湾/深水埗/荔枝角-香港特别行政区,11500,可议,2024-04-29,nan,房东,花生香港,
靚海景1房 堅尼地城,https://hongkong365.cn/house/662e8ef0e3a80823d560eb5a,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-坚尼地城[地铁站],15300,可议,2024-04-29,nan,中介/其他,花生香港,
港大預租 高質新樓有會所,https://hongkong365.cn/house/662e8dcae3a80823d560eb54,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-香港大学,16500,可议,2024-04-29,nan,中介/其他,花生香港,
旺角房间出租,https://hongkong365.cn/house/662e818be3a80823d560eb45,女性,洋楼,合租, 油麻地/旺角/太子-旺角,2500,可议,2024-04-29,nan,个人,花生香港,
上水私楼 御景峰高档小区,https://hongkong365.cn/house/6606e27d26cac051c43e1b61,女性,洋楼,合租, 粉岭/上水-御景峰-私人泳池,6800,可议,2024-04-29,港中文,个人,花生香港,
坚尼地城太白楼地下30m²设计师装修套房转租,https://hongkong365.cn/house/662f4039e3a80823d560ec81,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-太白阁(山市街),14500,可议,2024-04-29,nan,个人,花生香港,
油麻地公寓超低价出租,https://hongkong365.cn/house/6625da997183c54ce32abcb2,男女皆可,洋楼,整租, 油麻地/旺角/太子-康乐大楼,6500,可议,2024-04-29,nan,房东,花生香港,
【女】黄埔新村大房转租,https://hongkong365.cn/house/662f50e5a0360e54172ba608,女性,洋楼,合租, 红磡/黄埔-黄埔新村,6500,可议,2024-04-29,nan,个人,花生香港,
【科大】【女生单间】大埔仔御景轩，科大最近房源，大路步行5分钟到北门，房间有单独门锁和基础家具，提供全套生活用品，拎包入住，免费wifi，管理团队定期打扫公共卫生,https://hongkong365.cn/house/662f8734110d1a18f3773c33,女性,村屋,合租, 大埔仔/西贡-御景轩,4200,0个月,2024-04-29,nan,个人,花生香港,
太子，旺角东地铁站双人间,https://hongkong365.cn/house/662f56715b8f8f165e0a721d,女性,洋楼,合租, 油麻地/旺角/太子-有成大楼,2500,可议,2024-04-29,nan,个人,花生香港,
西营盘B口 一房一厅,https://hongkong365.cn/house/662fbf9196817f09347e7062,女性,酒店式公寓,整租, 西营盘/坚尼地城/石塘咀-西营盘[地铁站],11800,可议,2024-04-29,nan,房东,花生香港,
油塘厅长转租超低价带阳台,https://hongkong365.cn/house/662fb15c01f0e5629a7da773,女性,酒店式公寓,合租, 蓝田/油塘-Ocean One,4000,可议,2024-04-29,nan,个人,花生香港,
五月转租，可日租,https://hongkong365.cn/house/662fa6d9696ce82e89535d0f,男女皆可,洋楼,整租, 油麻地/旺角/太子-旺角,150,可议,2024-04-29,nan,个人,花生香港,
海湾轩小房4.30-5.5,https://hongkong365.cn/house/662f9a13849b7509476658e0,女性,酒店式公寓,合租, 红磡/黄埔-香港海湾轩(日租公寓),550,可议,2024-04-29,nan,个人,花生香港,
地铁上盖新都城宝琳东南向科大363呎2室1厅整租刮风下雨都不怕楼下商场巴士总站,https://hongkong365.cn/house/662f96cd849b7509476658d6,男女皆可,洋楼,整租, 将军澳/坑口/宝琳-宝琳新都城,16000,可议,2024-04-29,nan,房东,花生香港,
新都城一期,https://hongkong365.cn/house/662f91e3315bd7476374fcaa,女性,洋楼,合租, 将军澳/坑口/宝琳-宝林新都城二期[公交站],6300,可议,2024-04-29,nan,房东,花生香港,
新都城一期,https://hongkong365.cn/house/662f916aa0360e54172ba6fc,女性,洋楼,合租, 将军澳/坑口/宝琳-宝林新都城二期[公交站],6500,可议,2024-04-29,nan,房东,花生香港,
大房短租,https://hongkong365.cn/house/662fc27096817f09347e7066,女性,洋楼,合租, 大围/沙田-第一城37座,5000,可议,2024-04-29,港中文,个人,花生香港,
大房独卫6000kd 红磡港理黄埔花园转租,https://hongkong365.cn/house/662f7e1a110d1a18f3773c1f,女性,洋楼,合租, 红磡/黄埔-黄埔花园金柏苑,6000,可议,2024-04-29,nan,个人,花生香港,
HKU B2 麦当劳楼上 短租 100/天 限女生,https://hongkong365.cn/house/662f79b7110d1a18f3773c10,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-新安大楼,100,0个月,2024-04-29,nan,个人,花生香港,
港大b1口高层单间转租5-8月6xxx,https://hongkong365.cn/house/662f791da0360e54172ba6be,女性,洋楼,合租, 薄扶林-均益大厦第二期,6900,可议,2024-04-29,nan,个人,花生香港,
🇭🇰暑期旺角/太子好房低价转租,https://hongkong365.cn/house/662f73c3a0360e54172ba6ad,女性,洋楼,合租, 油麻地/旺角/太子-康龄大厦,5000,可议,2024-04-29,nan,个人,花生香港,
西营盘三室一厅整租转租,https://hongkong365.cn/house/6619e6334fdc8d14445bd8dd,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-西环,22000,可议,2024-04-29,nan,个人,花生香港,
风水超级好！前室友都读名校去了,https://hongkong365.cn/house/662f5b2fa0360e54172ba63c,男女皆可,洋楼,合租, 康城-领都,4900,可议,2024-04-29,nan,房东,花生香港,
港大B1口转租❕超低价❕可续租❕,https://hongkong365.cn/house/662639ac60c4c2513a6a9d12,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-富满大厦,5000,0个月,2024-04-29,nan,个人,花生香港,
西营盘地铁一分钟好房转租找舍友,https://hongkong365.cn/house/662dc76fa9c9974e323cdce5,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-西营盘[地铁站]-B1出入口,8000,可议,2024-04-28,nan,个人,花生香港,
西营盘洋楼单间  五月底到八月初 转租,https://hongkong365.cn/house/662dfadffd391f60fd329bd8,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-帝后华庭,7200,可议,2024-04-28,nan,个人,花生香港,
香港大学3000+转租,https://hongkong365.cn/house/662deabeba5bdf4e7a22ecb3,女性,唐楼,合租, 西营盘/坚尼地城/石塘咀-德富大楼,3400,可议,2024-04-28,nan,个人,花生香港,
港硕离港转租6、7两个月（可续租）,https://hongkong365.cn/house/662de86aa9c9974e323cdd33,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-南雄大厦,10000,可议,2024-04-28,nan,个人,花生香港,
2房一廳，家電齊，17000,https://hongkong365.cn/house/66100059b12b1456ae4d4458,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-香港大学[地铁站]-B1出入口,17000,可议,2024-04-28,nan,中介/其他,花生香港,
開放式，家電齊，13000,https://hongkong365.cn/house/662de3bcba5bdf4e7a22ec97,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-西环,13000,可议,2024-04-28,nan,中介/其他,花生香港,
超低价转租香港大学附近西营盘单间，转租期后可选择与房东续租，价格友好、生活便利,https://hongkong365.cn/house/662de26ca9c9974e323cdd21,男性,唐楼,合租, 西营盘/坚尼地城/石塘咀-西边街,4000,可议,2024-04-28,nan,个人,花生香港,
【已租出】港大附近3500单间(短租可商量),https://hongkong365.cn/house/662dcdd7e9465909d733d8b9,男女皆可,唐楼,合租, 西营盘/坚尼地城/石塘咀-如意大楼,3500,可议,2024-04-28,nan,房东,花生香港,
暑期海韵轩短租大房,https://hongkong365.cn/house/662dcaaca9c9974e323cdceb,女性,酒店式公寓,合租, 红磡/黄埔-海韵轩,8202,可议,2024-04-28,nan,个人,花生香港,
理工都会城大浸会租房,https://hongkong365.cn/house/662dbfebba5bdf4e7a22ec48,男女皆可,唐楼,合租, 尖沙咀/佐敦-学逸轩,5900,可议,2024-04-28,nan,房东,花生香港,
海湾轩 寻找小房室友,https://hongkong365.cn/house/662dc5f2e9465909d733d8b0,女性,酒店式公寓,合租, 红磡/黄埔-香港海湾轩(日租公寓),8000,可议,2024-04-28,nan,个人,花生香港,
低价转租 东铁线上盖 粉岭名都大单间转租 大床大空间！,https://hongkong365.cn/house/662dc28eba5bdf4e7a22ec50,男女皆可,洋楼,合租, 粉岭/上水-粉岭名都,5200,可议,2024-04-28,港中文,个人,花生香港,
海滨南岸客厅便宜转租！！！,https://hongkong365.cn/house/662d32a2ba5bdf4e7a22ebf1,女性,洋楼,合租, 红磡/黄埔-海滨南岸第3座,3500,可议,2024-04-28,nan,个人,花生香港,
毓明閣中層536尺3房，家電齊全，租$26800,https://hongkong365.cn/house/66011fc0d405834fd37f107d,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-毓明阁2,26800,可议,2024-04-28,nan,中介/其他,花生香港,
港大附近新装修超干净房源短租,https://hongkong365.cn/house/662e0908a9c9974e323cdda0,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-德基大厦(保德街),7500,可议,2024-04-28,nan,个人,花生香港,
太子近地铁走路3分钟.五房一卫一厨，家具家电齐全拎包入住即可,https://hongkong365.cn/house/64f6a25e87b93b40fa2c30b7,男女皆可,洋楼,合租, 油麻地/旺角/太子-荔枝角道,5000,可议,2024-04-28,nan,个人,花生香港,
港大西营盘，大单间，水电网全免,https://hongkong365.cn/house/65fecabf7717653d4d32c068,女性,唐楼,合租, 西营盘/坚尼地城/石塘咀-利基阁,4800,可议,2024-04-28,nan,个人,花生香港,
低价转租至6月20日,https://hongkong365.cn/house/662d32daa9c9974e323cdc66,男女皆可,洋楼,整租, 大埔/火炭/太和-太湖花园第1期,3300,可议,2024-04-28,港中文,个人,花生香港,
【516尺超大超干净！】【可🔪】【免佣金】【24小时安保】中西区-港大/西营盘/上环 帝后华庭 转租,https://hongkong365.cn/house/661bdf467ef30f5aa5628364,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-帝后华庭,7000,可议,2024-04-28,nan,个人,花生香港,
沙田全辉中心找男生单间室友，没厅长，水电网全包，家具齐全，室友是浸会大学的中医学生，可以只租半年，10个月，一年都可以，,https://www.gangpiaoquan.com/Rent/info/id/113221.html,男性,洋楼,合租,新界/大围/沙田,7500.0,长租,2024-04-28,港中文,,港漂圈,微信 Maxwell67051355
近港大地鐵站B1對面永華大廈,https://hongkong365.cn/house/662e0967fd391f60fd329bfd,男女皆可,洋楼,合租, 西营盘/坚尼地城/石塘咀-香港大学[地铁站]-B1出入口,6900,可议,2024-04-28,nan,中介/其他,花生香港,
中大樟树滩3.5k单间转租,https://hongkong365.cn/house/662e4ceb2728247ab14804f0,男女皆可,村屋,合租, 大埔/火炭/太和-灿斐邱公祠,3500,可议,2024-04-28,港中文,个人,花生香港,
沙田第一城房间出租,https://hongkong365.cn/house/662e6ec2e364ea1dc87cb83f,男女皆可,洋楼,整租, 大围/沙田-沙田第一城,6000,可议,2024-04-28,港中文,个人,花生香港,
[低价]因工作原因，忍痛提前转让海景中型单间，可随时起租，已完成清洁，设备齐全可拎包入住，到期可续租！[限男生，非诚勿扰],https://hongkong365.cn/house/662e6b3410301a60566fbd75,男性,洋楼,合租, 红磡/黄埔-海滨南岸第4座,5500,可议,2024-04-28,nan,个人,花生香港,
金陵大廈 1房1廳 可6月起租 家電 拎包入住,https://hongkong365.cn/house/662e6735e364ea1dc87cb830,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-金陵大厦,11000,可议,2024-04-28,nan,中介/其他,花生香港,
独立套房有利大厦男女生均可，近【理工、浸会、城大、港大、中大法律系、都会】Hk8500元起，家具设施齐备，拎包入住，步行约1分钟到地铁站,https://hongkong365.cn/house/66251b5bb40e55140143021c,男女皆可,洋楼,合租, 尖沙咀/佐敦-香港尖沙咀弥敦道有利大厦,6500,0个月,2024-04-28,nan,个人,花生香港,
日出康城LP6一房一厅,https://hongkong365.cn/house/662e630010301a60566fbd5b,男女皆可,洋楼,整租, 将军澳/坑口/宝琳-日出康城,13800,可议,2024-04-28,nan,房东,花生香港,
何文田去理工只要十分钟,https://hongkong365.cn/house/662e5b2fe364ea1dc87cb806,男性,洋楼,合租, 土瓜湾/何文田-蔚景楼,3800,可议,2024-04-28,nan,个人,花生香港,
太子站，近城市大学,https://hongkong365.cn/house/662e596410301a60566fbd44,女性,洋楼,合租, 油麻地/旺角/太子-宝兴大楼,5300,可议,2024-04-28,nan,个人,花生香港,
黄埔地铁站出租,https://hongkong365.cn/house/6608d039771e64054f60573a,男性,洋楼,合租, 红磡/黄埔-红磡,4600,可议,2024-04-28,nan,个人,花生香港,
步行7分鐘到港大2房1廳家電齊拎包入住租14500,https://hongkong365.cn/house/6622488d7879754a5675c8cf,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-第三街游乐场,14500,可议,2024-04-28,nan,中介/其他,花生香港,
【短租转租】（可小刀）九龙塘又一居独卫单间,https://hongkong365.cn/house/662e3c6d2728247ab14804bb,女性,洋楼,合租, 石硖尾/九龙塘-又一居第8座,6000,可议,2024-04-28,nan,个人,花生香港,
港大Studio单间转租-港大站B2口步行50米直达！,https://hongkong365.cn/house/662e33782728247ab14804a7,男女皆可,洋楼,合租, 西营盘/坚尼地城/石塘咀-适安大厦,5000,可议,2024-04-28,nan,个人,花生香港,
🇭🇰九龙城6.5-7.30超低价转租,https://hongkong365.cn/house/662e335fb7897133150f5c38,女性,唐楼,合租, 九龙城/启德-梁玲楼,2800,可议,2024-04-28,nan,个人,花生香港,
香港大围名城骨折低价转租啦,https://hongkong365.cn/house/662e2098b7897133150f5c02,男性,洋楼,合租, 大围/沙田-名城,4000,可议,2024-04-28,港中文,个人,花生香港,
【超低价】近科大，日出康城方正户型，拎包入住，舍友nice,https://hongkong365.cn/house/662930891b4d465a6c62897a,男性,洋楼,合租, 康城-首都3座,5500,可议,2024-04-28,nan,个人,花生香港,
大围美城苑短租急租,https://hongkong365.cn/house/662e188c4008c16ee6653869,男性,学生公寓,合租, 大围/沙田-美城苑,5000,可议,2024-04-28,港中文,个人,花生香港,
大围地铁站附近富嘉花园房间转租，5-8月短租，领包入住,https://hongkong365.cn/house/662e47b92728247ab14804dd,女性,洋楼,合租, 大围/沙田-富嘉花园-第3座,5300,可议,2024-04-28,港中文,个人,花生香港,
港大附近西营盘空间巨大主人房5月到8月转租,https://hongkong365.cn/house/662c7d4e1dc70d02bb214b65,男性,洋楼,合租, 西营盘/坚尼地城/石塘咀-正丰大厦,6000,可议,2024-04-27,nan,个人,花生香港,
转租海滨南岸 厅长G户型,https://hongkong365.cn/house/662c72879ba1ea620c395dd4,女性,学生公寓,合租, 红磡/黄埔-海滨南岸,4000,可议,2024-04-27,nan,个人,花生香港,
低价-港大A口薄扶林63号Studio转租,https://hongkong365.cn/house/662c77021dc70d02bb214b4f,男女皆可,酒店式公寓,整租, 薄扶林-薄扶林,9000,可议,2024-04-27,nan,个人,花生香港,
大围学生公寓单人间转租,https://hongkong365.cn/house/660e67a2b12b1456ae4d4218,女性,学生公寓,合租, 大围/沙田-溱岸8号2座,4800,可议,2024-04-27,港中文,中介/其他,花生香港,
性价比较高，适合学生，金狮花园，无中介费,https://hongkong365.cn/house/642ec795f65d3a2bcf1c926f,男女皆可,洋楼,整租, 大围/沙田-金狮花园第一期,3625,可议,2024-04-27,港中文,房东,花生香港,
24fall代看房,https://hongkong365.cn/house/662c81580c0d573726332c02,男女皆可,洋楼,整租, 红磡/黄埔-香港理工大学,0,可议,2024-04-27,nan,房东,花生香港,
中大，城大，理大，浸大学生首选。地铁上盖，直达各大学。优质大型屋苑，设健身室，室内外泳池，卡拉OK，卓球室，阅读室等。屋苑直达大型商场及湿货市场；超市，餐饮，购物，生活所需，应有尽有｡,https://hongkong365.cn/house/662c861b4f08c63aa7614330,女性,洋楼,整租, 大围/沙田-名城,4000,可议,2024-04-27,港中文,房东,花生香港,
（业主盘免佣）旺角花园街有房出租,https://hongkong365.cn/house/662c6ac91dc70d02bb214b29,男女皆可,唐楼,合租, 油麻地/旺角/太子-汇宝医疗用品配套有限公司,6300,可议,2024-04-27,nan,房东,花生香港,
沙田新宁大厦单人间毕业转租,https://hongkong365.cn/house/662906b265201722543a7ee1,男性,洋楼,合租, 大围/沙田-新宁大厦,2500,可议,2024-04-27,港中文,个人,花生香港,
香港大学租房,https://hongkong365.cn/house/662b1836f455be3cbd05a5f2,男女皆可,洋楼,合租, 西营盘/坚尼地城/石塘咀-惠苑(忠正街),7200,可议,2024-04-27,nan,房东,花生香港,
港大地铁b1单房转租,https://hongkong365.cn/house/66234c1e6b8cd23489091e12,男女皆可,唐楼,合租, 西营盘/坚尼地城/石塘咀-皇后大道419N,4700,可议,2024-04-27,nan,个人,花生香港,
（业主盘免佣）北角有房出租｜平价房源推荐,https://hongkong365.cn/house/662c6a170c0d573726332bce,男女皆可,洋楼,合租, 北角/则鱼涌-东发大厦D座,6500,可议,2024-04-27,nan,房东,花生香港,
大围超高性价比客厅转租,https://hongkong365.cn/house/662ac5913d58b54e081d3633,男女皆可,洋楼,合租, 大围/沙田-金禧花园,2700,可议,2024-04-27,港中文,个人,花生香港,
中大男学生首选-性价比超高-粉岭,https://hongkong365.cn/house/6496f167f321074bce5e25ff,男性,洋楼,合租, 粉岭/上水-碧湖花园,6300,可议,2024-04-27,港中文,房东,花生香港,
港大西营盘B3口银行大厦港大学生转租,https://hongkong365.cn/house/6617a551d8e7d47f755b9b99,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-银行大厦,3800,可议,2024-04-27,nan,个人,花生香港,
沙田低价短租,https://hongkong365.cn/house/662c525824f99e4087043900,男女皆可,洋楼,整租, 大围/沙田-沙田第一城43座,7000,可议,2024-04-27,港中文,个人,花生香港,
"都會/理/-
城/浸/大学拎包入可住两至3人即住",https://hongkong365.cn/house/63a34a4d1bca450f9a64c962,男女皆可,洋楼,整租, 油麻地/旺角/太子-鸿辉大厦,13800,可议,2024-04-27,nan,房东,花生香港,
名城3期 转租短租,https://hongkong365.cn/house/662bfa7424f99e40870438d3,女性,学生公寓,合租, 大围/沙田-名城,6200,可议,2024-04-27,港中文,个人,花生香港,
降价3500出港大c口山景阳台房,https://hongkong365.cn/house/661e8edc8b8cf8589c3e7005,女性,学生公寓,合租, 薄扶林-蒲飞路路口薄扶林道[公交站],4500,可议,2024-04-27,nan,个人,花生香港,
西营盘转租 海景主卧带独卫,https://hongkong365.cn/house/662be3f09ba1ea620c395d58,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-蔚峰,11000,可议,2024-04-27,nan,个人,花生香港,
香港大围名城二期1座高层单人间/双人间（全女生）,https://hongkong365.cn/house/662bdd4524f99e40870438c0,女性,学生公寓,合租, 大围/沙田-香港大围名城,5800,可议,2024-04-27,港中文,房东,花生香港,
海灣軒海景酒店,https://hongkong365.cn/house/662bf07b0c0d573726332b64,女性,酒店式公寓,合租, 红磡/黄埔-香港海湾轩(日租公寓),3900,可议,2024-04-27,nan,个人,花生香港,
近港大一室转租 可议价,https://hongkong365.cn/house/662c8d4e0c0d573726332c2c,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-昌荣阁,17000,可议,2024-04-27,nan,个人,花生香港,
转红磡湾中心双人上铺,https://hongkong365.cn/house/655d7e1a9c54670e5e4beb2b,女性,洋楼,合租, 红磡/黄埔-红磡湾中心,4400,可议,2024-04-27,nan,个人,花生香港,
九龙湾洋楼，房东感恩价,https://hongkong365.cn/house/655b3932f392ff16021f8b9f,女性,洋楼,合租, 牛头角/九龙湾/观塘-宏光楼,3200,可议,2024-04-27,nan,个人,花生香港,
低价转租 5-8月坚尼地城转租,https://hongkong365.cn/house/660698d9771e64054f605556,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-安发大厦,4500,可议,2024-04-27,nan,个人,花生香港,
海滨南岸上下床位,https://hongkong365.cn/house/662d20ce25f3c15c5e75ec7c,女性,洋楼,合租, 红磡/黄埔-海滨南岸,4500,可议,2024-04-27,nan,中介/其他,花生香港,
尖沙咀20平超大单人间转租,https://hongkong365.cn/house/662d1b90870f375769720b32,男女皆可,唐楼,合租, 尖沙咀/佐敦-加连威老道,8500,可议,2024-04-27,nan,个人,花生香港,
